x,w,Pn'(x),Pn(x+eps),Pn(x-eps)
P4
0.33998104358485626480266575910324468720057586977091435259295397682102003046,0.65214515486254614262693605077800059276465130416610645950747068048124813253,-1.8621528669557282227199167858979839166898751556845171439829644565264932286,9.4979e-78,-6.5840e-78
0.8611363115940525752239464888928095050957253796297176376157219209065294715,0.34785484513745385737306394922199940723534869583389354049252931951875186747,4.7166378294686010617873246514208094710425189914310171407944905277177298947,-5.9812e-77,2.1656e-77
P5
0,0.56888888888888888888888888888888888888888888888888888888888888888888888889,1.875,-2.1287e-646456993,2.1287e-646456993
0.53846931010568309103631442070020880496728660690555995620223162705947118537,0.47862867049936646804129151483563819291229555334314153997272766733383826715,-2.4258890363004197109898445876954860521823076072148455545066196837801042922,1.5757e-77,-2.6144e-77
0.90617984593866399279762687829939296512565191076253086287376228654377079492,0.2369268850561890875142640407199173626432600022124140155828278882217172884,6.8703334807448641554342890321399304966267520516592899989510641282245487366,-7.2524e-77,4.6143e-77
P6
0.23861918608319690863050172168071193541861063014002135018139516457427493428,0.46791393457269104738987034398955099481165560576921053531162531996391420162,2.128933728923492960552639026591160814569855706619954423303137158143643937,-2.4768e-78,6.7162e-78
0.66120938646626451366139959501990534700644856439517007081452670585218349661,0.36076157304813860756983351383771611166152189274674548228973924023714003784,-3.1385350929932112660303162693666836543096089363472570693745576102931155501,1.7018e-77,-3.7191e-77
0.93246951420315202781230155449399460913476573771228982487254961652661350084,0.17132449237917034504029614217273289352682250148404398239863543979894576054,9.4579934367711255853474939657762213063119096261662719944305524496529078255,-1.1231e-76,5.1053e-77
P7
0,0.41795918367346938775510204081632653061224489795918367346938775510204081633,-2.1875,2.4835e-646456993,-2.4835e-646456993
0.40584515137739716690660641207696146334738201409937012638704325179466381323,0.38183005050511894495036977548897513387836508353386273475108345103070554643,2.5041559914488006410793416027471087188560867642075154158166557510085891558,-8.4057e-78,1.3221e-77
0.74153118559939443986386477328078840707414764714139026011995535196742987467,0.27970539148927666790146777142377958248692506522659876453701403269361881043,-3.9856106962490569821164939217779813621571515138392070345420347707094204946,1.8387e-77,-5.0454e-77
0.94910791234275852452618968404785126240077093767061778354876910391306333036,0.12948496616886969327061143267908201832858740225994666397720863872465523497,12.478496124918599536303424508379985069336567708211573275530112747511482226,-1.6039e-76,5.5147e-77
P8
0.18343464249564980493947614236018398066675781291297378231718847369920447422,0.36268378337836198296515044927719561219414603989433054052482306756668673472,-2.3888193837549440242470999728304989137328160820304763183936056240202283521,5.1475e-78,-5.1676e-78
0.52553240991632898581773904918924634904196424312039285775085709927245482077,0.31370664587788728733796220198660131326032899900273493769026394507495627194,2.9678308357677930576472131798403146467633535347464180214709162235289522939,-3.5992e-77,1.5269e-77
0.79666647741362673959155393647583043683717173161596483207017029503921730568,0.22238103445337447054435599442624088443013087005124956472590928929361681457,-4.961670275671701890015993141691666842001150971711256285851459697383412734,6.0186e-77,-2.5514e-77
0.96028985649753623168356086856947299042823523430145203827163977737242489774,0.10122853629037625915253135430996219011539409105168495705900369806474017876,15.931352412828545999411918716276810116323109357302771287234959645041672937,-9.2922e-77,1.8225e-76
P9
0,0.33023935500125976316452506928697404887881078357268833459309649785840262031,2.4609375,-2.7940e-646456993,2.7940e-646456993
0.32425342340380892903853801464333660857195626073697308882704747684218657954,0.31234707704000284006863040658444366559875486126190464555401116559914389732,-2.6749692593835883282066739508701178288657272246465012280366395053404446842,8.3065e-78,-1.4795e-77
0.61337143270059039730870203934147418478572060494056469287281294228126734649,0.26061069640293546231874286941863284977184020443729995193999700211961081567,3.5075569246831308741898672651790030798266547889707339515513399989735433804,-1.5877e-77,4.4706e-77
0.83603110732663579429942978806973487654410671812467599610437197963945500688,0.18064816069485740405847203124291280951433782173204048449833590647135729055,-6.0642552992956037699901798725876817328047499964675427082562631933626914081,5.9149e-77,-4.5595e-77
0.9681602395076260898355762029036728700494048004919253295500233118490803744,0.081274388361574411971892158110523650675661720782410750711107676880686686308,19.816320595526694238458441880892270937369977530860997751889944543816708527,-1.9751e-76,1.4477e-76
P10
0.14887433898163121088482600112971998461756485942069169570798925351590361736,0.29552422471475287017389299465133832942104671702685360135430802975599593822,2.630784943500833458820311818745573124178933392024239988184143294892081289,-2.9410e-78,8.4190e-78
0.43339539412924719079926594316578416220007183765624649650270151314376698908,0.26926671930999635509122692156946935285975993846088379580056327624215343232,-3.0241310392175221638020367814933080460331637785243638554297772266396043942,8.2223e-78,-1.7895e-77
0.6794095682990244062343273651148735757692947118348094676648171889525585754,0.21908636251598204399553493422816319245877187052267708988095654363519991065,4.1176908339921239854190557655864848815135745493607478929697806116734515313,-4.7622e-77,2.3500e-77
0.86506336668898451073209668842349304852754301496533045252195973184537475514,0.14945134915058059314577633965769733240255663966942736783547726875323865473,-7.2921122761763885816265696872768473840958295770588022455271031583444956817,8.1186e-77,-4.4766e-77
0.97390652851717172007796401208445205342826994669238211923121206669659520323,0.066671344308688137593568809893331792857864834320158145128694881613412064084,24.133269864732907524720813835859017817563624110492902937538909998298806973,-2.6340e-76,1.5343e-76
P11
0,0.27292508677790063071448352833634218915604196989478374759760041145322530604,-2.70703125,3.0734e-646456993,-3.0734e-646456993
0.26954315595234497233153198540086152467962186243905228162392563188005706622,0.26280454451024666218068886989050919537276467760314455638005537148551280334,2.8646894377591613606304587978169929566562823206948191397319950318683081108,-1.0584e-77,1.4155e-77
