x,w
P4,
0.069431844202973712388026755553595247452137310185141181192139039546735264253,0.17392742256872692868653197461099970361767434791694677024626465975937593373
0.33000947820757186759866712044837765639971206511454282370352301158948998477,0.32607257743127307131346802538900029638232565208305322975373534024062406627
0.66999052179242813240133287955162234360028793488545717629647698841051001523,0.32607257743127307131346802538900029638232565208305322975373534024062406627
0.93056815579702628761197324444640475254786268981485881880786096045326473575,0.17392742256872692868653197461099970361767434791694677024626465975937593373
P5,
0.046910077030668003601186560850303517437174044618734568563118856728114602542,0.1184634425280945437571320203599586813216300011062070077914139441108586442
0.23076534494715845448184278964989559751635669654722002189888418647026440732,0.23931433524968323402064575741781909645614777667157076998636383366691913358
0.5,0.28444444444444444444444444444444444444444444444444444444444444444444444444
0.76923465505284154551815721035010440248364330345277997810111581352973559268,0.23931433524968323402064575741781909645614777667157076998636383366691913358
0.95308992296933199639881343914969648256282595538126543143688114327188539746,0.1184634425280945437571320203599586813216300011062070077914139441108586442
P6,
0.033765242898423986093849222753002695432617131143855087563725191736693249578,0.085662246189585172520148071086366446763411250742021991199317719899472880271
0.1693953067668677431693002024900473264967757178024149645927366470739082517,0.18038078652406930378491675691885805583076094637337274114486962011857001892
0.38069040695840154568474913915964403229069468492998932490930241771286253286,0.23395696728634552369493517199477549740582780288460526765581265998195710081
0.61930959304159845431525086084035596770930531507001067509069758228713746714,0.23395696728634552369493517199477549740582780288460526765581265998195710081
0.8306046932331322568306997975099526735032242821975850354072633529260917483,0.18038078652406930378491675691885805583076094637337274114486962011857001892
0.96623475710157601390615077724699730456738286885614491243627480826330675042,0.085662246189585172520148071086366446763411250742021991199317719899472880271
P7,
0.025446043828620737736905157976074368799614531164691108225615448043468334823,0.064742483084434846635305716339541009164293701129973331988604319362327617486
0.12923440720030278006806761335960579646292617642930486994002232401628506266,0.13985269574463833395073388571188979124346253261329938226850701634680940522
0.29707742431130141654669679396151926832630899295031493680647837410266809339,0.19091502525255947247518488774448756693918254176693136737554172551535277322
0.5,0.20897959183673469387755102040816326530612244897959183673469387755102040816
0.70292257568869858345330320603848073167369100704968506319352162589733190661,0.19091502525255947247518488774448756693918254176693136737554172551535277322
0.87076559279969721993193238664039420353707382357069513005997767598371493734,0.13985269574463833395073388571188979124346253261329938226850701634680940522
0.97455395617137926226309484202392563120038546883530889177438455195653166518,0.064742483084434846635305716339541009164293701129973331988604319362327617486
P8,
0.019855071751231884158219565715263504785882382849273980864180111313787551128,0.050614268145188129576265677154981095057697045525842478529501849032370089382
0.10166676129318663020422303176208478158141413419201758396491485248039134716,0.11119051722668723527217799721312044221506543502562478236295464464680840729
0.23723379504183550709113047540537682547901787843980357112457145036377258962,0.15685332293894364366898110099330065663016449950136746884513197253747813597
0.40828267875217509753026192881990800966662109354351310884140576315039776289,0.18134189168918099148257522463859780609707301994716527026241153378334336736
0.59171732124782490246973807118009199033337890645648689115859423684960223711,0.18134189168918099148257522463859780609707301994716527026241153378334336736
0.76276620495816449290886952459462317452098212156019642887542854963622741038,0.15685332293894364366898110099330065663016449950136746884513197253747813597
0.89833323870681336979577696823791521841858586580798241603508514751960865284,0.11119051722668723527217799721312044221506543502562478236295464464680840729
0.98014492824876811584178043428473649521411761715072601913581988868621244887,0.050614268145188129576265677154981095057697045525842478529501849032370089382
P9,
0.015919880246186955082211898548163564975297599754037335224988344075459812802,0.040637194180787205985946079055261825337830860391205375355553838440343343154
0.081984446336682102850285105965132561727946640937662001947814010180272496559,0.090324080347428702029236015621456404757168910866020242249167953235678645273
0.19331428364970480134564898032926290760713969752971765356359352885936632675,0.13030534820146773115937143470931642488592010221864997596999850105980540783
0.33787328829809553548073099267833169571402186963151345558647626157890671023,0.15617353852000142003431520329222183279937743063095232277700558279957194866
0.5,0.16511967750062988158226253464348702443940539178634416729654824892920131015
0.66212671170190446451926900732166830428597813036848654441352373842109328977,0.15617353852000142003431520329222183279937743063095232277700558279957194866
0.80668571635029519865435101967073709239286030247028234643640647114063367325,0.13030534820146773115937143470931642488592010221864997596999850105980540783
0.91801555366331789714971489403486743827205335906233799805218598981972750344,0.090324080347428702029236015621456404757168910866020242249167953235678645273
0.9840801197538130449177881014518364350247024002459626647750116559245401872,0.040637194180787205985946079055261825337830860391205375355553838440343343154
P10,
0.013046735741414139961017993957773973285865026653808940384393966651702398383,0.033335672154344068796784404946665896428932417160079072564347440806706032042
0.067468316655507744633951655788253475736228492517334773739020134077312622431,0.074725674575290296572888169828848666201278319834713683917738634376619327363
0.1602952158504877968828363174425632121153526440825952661675914055237207123,0.10954318125799102199776746711408159622938593526133854494047827181759995533
0.28330230293537640460036702841710791889996408117187675174864924342811650546,0.13463335965499817754561346078473467642987996923044189790028163812107671616
0.42556283050918439455758699943514000769121757028965415214600537324204819132,0.14776211235737643508694649732566916471052335851342680067715401487799796911
0.57443716949081560544241300056485999230878242971034584785399462675795180868,0.14776211235737643508694649732566916471052335851342680067715401487799796911
0.71669769706462359539963297158289208110003591882812324825135075657188349454,0.13463335965499817754561346078473467642987996923044189790028163812107671616
0.8397047841495122031171636825574367878846473559174047338324085944762792877,0.10954318125799102199776746711408159622938593526133854494047827181759995533
0.93253168334449225536604834421174652426377150748266522626097986592268737757,0.074725674575290296572888169828848666201278319834713683917738634376619327363
0.98695326425858586003898200604222602671413497334619105961560603334829760162,0.033335672154344068796784404946665896428932417160079072564347440806706032042
P11,
0.01088567092697150359803099943857130461428879554010779228709946700816810031,0.02783428355808683324137686022127428936425781284844907417419214283707770364
0.056468700115952350462421115348036366684162124387342807516294472231194343071,0.062790184732452312317347149611970050098807895697701750331967005408957287566
0.13492399721297533795329187398442327097517846898693484401081083015649337747,0.093145105463867125713048820715827945845642374020101705890753202086936174004
0.24045193539659409203713716527069522275988644244003575548953869425665203677,0.11659688229599523995926185242158756971589908615847925451365986106096610661
0.36522842202382751383423400729956923766018906878047385918803718405997146689,0.13140227225512333109034443494525459768638233880157227819002768574275640167
0.5,0.13646254338895031535724176416817109457802098494739187379880020572661265302
0.63477157797617248616576599270043076233981093121952614081196281594002853311,0.13140227225512333109034443494525459768638233880157227819002768574275640167
0.75954806460340590796286283472930477724011355755996424451046130574334796323,0.11659688229599523995926185242158756971589908615847925451365986106096610661
0.86507600278702466204670812601557672902482153101306515598918916984350662253,0.093145105463867125713048820715827945845642374020101705890753202086936174004
0.94353129988404764953757888465196363331583787561265719248370552776880565693,0.062790184732452312317347149611970050098807895697701750331967005408957287566
0.98911432907302849640196900056142869538571120445989220771290053299183189969,0.02783428355808683324137686022127428936425781284844907417419214283707770364
P12,
0.0092196828766403746547254549253595885199224000931342447686589390961033778409,0.023587668193255913597307980742508530158514536997423544780252673501904860576
0.047941371814762571660767066940451903731201645393351226722962119659382602135,0.053469662997659215480127359096998112107285086735162440002563021051409496814
