x,w,Pn'(x),Pn(x+eps),Pn(x-eps)
P4
0.33998104358485626480266575910324468720057586977091435259295397682102003046323703447787528043555481154896023952074649321358450032417124919927763636843383282215386111823528363111041583406215211241250238219328642400347670867526295609434108215341467916714054426685081517561697328989249531955359456223519377094,0.65214515486254614262693605077800059276465130416610645950747068048124813253408964827801623226774184049020189609523649784557555774967401821914297570167833037514071352295563608019736662604815640132735318607371197073531602560001077872115875786175320493374565609230579864120845904678081249740684277074447714392,-1.8621528669557282227199167858979839166898751556845171439829644565264932285800878273696095728411683689296248923054057188332395936984331455747031263776212462713773957210339210766557381485324942594246020974666591290969305016515817744710212537160971466199856211174460511559662927802258920677903387155612591825,7.5184e-309,-2.8401e-309
0.86113631159405257522394648889280950509572537962971763761572192090652947149504886570416233988447930521057692093197817632496374383911579197640849384586188557628729313274413699442901225984697102619064586815647452193621149160660976780531871805802685391412234717808701986393722474169510737705520364150677136206,0.34785484513745385737306394922199940723534869583389354049252931951875186746591035172198376773225815950979810390476350215442444225032598178085702429832166962485928647704436391980263337395184359867264681392628802926468397439998922127884124213824679506625434390769420135879154095321918750259315722925552285608,4.7166378294686010617873246514208094710425189914310171407944905277177298947010504905201766359648216677550338471173799354240624119454209288630893847852703183342598315711849318349137809032915287581306712167170439049332041029923783658063269289492074195149135260023377853694554102101273913782385047867985684828,-3.3349e-308,1.9126e-308
P5
0,0.56888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,1.875,-2.1287e-646456993,2.1287e-646456993
0.53846931010568309103631442070020880496728660690555995620223162705947118536775529103580366725057093157136705723210434955108169121587440464206834860756274815339781238285833693178461323875267961667965020537995636298786717163616607675848522000974180792414062560575710196027200192705230937503374572812502523866,0.47862867049936646804129151483563819291229555334314153997272766733383826715251245697556212506160411077944642094741222997429279016705318742202360197627553810699810201995597084334350173553416903246956221048635367215988592629136448284826405056371335136065319298932861275651853897325816343888059781675493125816,-2.4258890363004197109898445876954860521823076072148455545066196837801042921906500546156372886941752009188794381483336314898936389037550717872325546430762519785594794000159726072286992299466721890002559588768506386280911821464972035657113464676075309652937474528098923447301314501003032048093177384375270232,1.3569e-308,-1.3420e-308
0.90617984593866399279762687829939296512565191076253086287376228654377079491668684694114298955354226191158362481670511609320206600843497219153748695701254186590617005402730120865306040912078215629427041937867072982173153687690023760295379077389355288473978955576481039167978681406009534989074583669443510849,0.2369268850561890875142640407199173626432600022124140155828278882217172884030430985799934304939514447761091346081433255812627653885023681335319535792800174485574535355995847122120538200213865230859933450692018833956696292641910727072915049918422041949023625662269427990370165822973921166749577388006242974,6.8703334807448641554342890321399304966267520516592899989510641282245487366350944990600817331386196453633238825927780759343380833481995162316769990875206964230039238444604170516731436743911166334447004033212950830725356265909416480101557909120519754097381918972543367891745758945447476492537621828819714676,-3.0741e-308,4.5694e-308
P6
0.23861918608319690863050172168071193541861063014002135018139516457427493427563984224922442725734913160907222309701068720295545303507720513526288721751899829851398662168126362290305782987708594409769992986175857394692161362165922223346264164001393677789453278714532467215127721807682775772713895391648706265,0.467913934572691047389870343989550994811655605769210535311625319963914201620398127031110092584791982304766268789754797100928362554173502954593563559273386659336482592638255901803028127356350253624170461931825900099756987095900533474080074634376824431808173206369174103417427573744135230549901622238736188,2.1289337289234929605526390265911608145698557066199544233031371581436439369506907723717217363758798104724825309506436685509198416900341281332546560305013536093705886010476287205219175206926166515292498486626975932989439202086970880045604282997148037606425743890173735451714271889545047201666902917177554494,-4.1280e-309,1.7933e-309
0.66120938646626451366139959501990534700644856439517007081452670585218349660714310094428640374646145642988837163927514667955734677222538043817231980100933674239185388643000790162994426251458849024557188219703863032236201173523213570221879361890697430123155587106421310163628194710037836627415042693642947145,0.36076157304813860756983351383771611166152189274674548228973924023714003783726171832096220198881934794311720914037079858987989027836432107077678721140858189221145027225257577711260007323688285916316028951118005174081368554707448247248610118325993144981721640242558677753838176638830043309356569303326484278,-3.1385350929932112660303162693666836543096089363472570693745576102931155500836264130674580835936920510264408724819110436743090716616411305504438771507346429836276157736485569081937007412823831748597035050051248129789203295671289557785161516685314024899931105789607613670208043204665530193394224429936908411,1.1373e-308,-2.3545e-308
